Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
RAMSTAD LASTEBILSERVICE A/S;Ramstadløkka 5;1850;MYSEN;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";961685818
Reime & Lode AS;Bernerveien 30;4365;NÆRBØ;"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, BILSKADE, PABYGGER, TRAKTOR, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03";915340016
Alfa Bilverksted AS;Torneroseveien 3;4315;Sandnes;"BILVERKSTED01B, KONTROLLORGAN01B";981440722
MOTOR FORUM Hamar AS;Vangsvegen 91;2317;HAMAR;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";911907232
Auto-Mek AS;Gironluodda 2;9520;Kautokeino;"BILVERKSTED01B, KONTROLLORGAN01B";987574127
Trucknor Sogn og Fjordane AS avd. Stryn;Hegreveien 16;6783;STRYN;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";888545972
KNAS  AS;Litleåsvegen 79;5132;Bergen;PABYGGER;985895104
Henry Hammari AS;Myggveien 8;9514;ALTA;"BILVERKSTED01, KONTROLLORGAN01";979491190
Nextcar AS;Puskhola 1 A;6012;ÅLESUND;"BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01";935119847
DEKKSPESIALISTEN SKIEN AS;BØLEVEIEN 63;3724;SKIEN;HJUL;984719639
Øyer Bilverksted;Øyer;2636;ØYER;BILVERKSTED01;979798709
SANDVEN BRITISH CARS BERGEN AS;Sandbrekketoppen 30;5224;NESTTUN;BILVERKSTED01;815310772
Essen MC Øivind von Essen;Industriveien 1;1820;SPYDEBERG;MOTORSYKKELOGMOPED;984285183
Bil Spesialisten AS;Idrettsvegen 53;5353;Straume;BILSKADE;962269400
ODAL GUMMISERVICE AS;STUBBEN 4;2120;SAGSTUA;HJUL;997897196
Søgne Bil A/S;LINNEGRØVAN 17;4640;SØGNE;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";969045826
Elverum Servicesenter AS;Torolf Storsveens vei 6;2406;ELVERUM;"BILVERKSTED01B, KONTROLLORGAN01B";993804231
FELGTEKNIKK NORGE AS;LISLEBYVEIEN 191;1617;FREDRIKSTAD;HJUL;999080480
Varden Bil AS;Norevegen 1;5542;Karmsund.;"BILVERKSTED01, KONTROLLORGAN01";984539819
HALDEN AUTO A/S;Svinesundsveien 345;1788;HALDEN;"BILVERKSTED01B, KONTROLLORGAN01B";958682565
BERTEL O STEEN BUSKERUD AS;Vestre Linnesvei 8;3401;LIER;"BILVERKSTED01B, KONTROLLORGAN01B";948017539
Tollaksen Autoverksted AS;Industrigt 6B;5537;Haugesund;"BILVERKSTED01B, KONTROLLORGAN01B";995640929
Finnøy Motor AS;Fåholmen 4;4160;Finnøy;BILVERKSTEDALLE;935252245
VBK A/S;Tverrmyra 3;3185;Skoppum;"BILSKADE, PABYGGER";979340206
Manglerud Servicecenter AS;Beiteveien 1  ;0612;OSLO;"BILVERKSTED01, KONTROLLORGAN01";943643172
Maskin & Bil AS;Gamle Laudalsvei 9;4534;Marnardal;"BILVERKSTED01B, KONTROLLORGAN01B";818779852
DEKK1 AS avd. Lade;Haakon VII`s gate 17;7041;TRONDHEIM;"HENGERESPALOPSBREMSEANLEGG, HJUL";979579292
 BILIA Gol;Heradveien 9;3550;GOL;"BILVERKSTED01, KONTROLLORGAN01";976023188
DIGERUD DEKKSERVICE AS;Gaupevegen 8;2211;KONGSVINGER;HJUL;998020980
TUVEN BILSERVICE AS;SEMSVEGEN 50;3676;NOTODDEN;"BILVERKSTED01, KONTROLLORGAN01";920553303
HELALA BÅT & HAGE AS;TJELDBERGET 2;8012;BODØ;"HENGERESPALOPSBREMSEANLEGG, HJUL";995356341
Snap Drive AS avd. Jessheim;Industriveien 21 ;2069;JESSHEIM;"BILVERKSTED01, KONTROLLORGAN01";971585188
Hjelmeland Auto Senter AS;Hjelmeland;4130;Hjelmeland;"BILVERKSTED01, KONTROLLORGAN01";929652630
NORSK AUTOSENTER AS;Tvetenveien 292;0675;OSLO;"BILVERKSTED01, KONTROLLORGAN01";940272998
Trondheim Biltest AS;Håkon Magnussons gate 9;7041;TRONDHEIM;"BILVERKSTED01B, KONTROLLORGAN01B";913015851
TANABRU SERVICE AS;RÅDHUSVEIEN 1;9845;TANA;"HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG";984043317
Toyota Sulland Lillehammer AS;Lagervegen 1;2619;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01";979155204
DEKKSERVICE VOLDA AS;FURENE;6105;VOLDA;HJUL;915095909
Gule og Skrivarhaug bilverksted AS avd karrosseri;Øvre Gule;6430;BUD;"BILSKADE, HJULUTRUSTNING";983871143
KLART DET! UTLEIE AS;NANSETGATA 144;3271;LARVIK;HENGERESPALOPSBREMSEANLEGG;995172151
HandiCare AS;Vestre Rosten 88B;7075;TRONDHEIM;BILVERKSTED01;965395830
Pomek AS;Lensbygdavegen 267;2850;LENA;"BILVERKSTEDALLE, BILSKADE, PABYGGER, KONTROLLORGAN02";913194691
GMG SERVICE AS;"Breivika, Industrivn. 50";6018;Ålesund;"BILVERKSTED01B, KONTROLLORGAN01B";966615826
BERGHS KAROSSERIVERKSTED;GRØSLAND;3300;HOKKSUND;BILSKADE;970206647
A BIL AS;BROBEKKVEIEN 52;0598;OSLO;HJUL;993020230
Trondsen Bil AS;Håndverkervegen 4A;9018;TROMSØ;"BILVERKSTED01B, KONTROLLORGAN01B";981039998
Farsund Bilverksted AS;Østre Vatne;4560;Farsund;"BILVERKSTED01, KONTROLLORGAN01";965870849
STENEBRÅTEN-BIL AS;Mosseveien 13;1610;FREDRIKSTAD;BILSKADE;996501442
Urianstad Rep og Karosseri AS;Urianstad 16;1458;FJELLSTRAND;PABYGGER;895357952
BIL - REP - Iver Gribbestad;Plutovegen 3;6419;MOLDE;"BILVERKSTED01, KONTROLLORGAN01";977064740
HURUM DEKK & BILGLASS AS;ÅSVEIEN 4;3475;SÆTRE;"BILGLASS, HJUL";965958584
Askim Mc Ole-Johnny Skøien;Ramstadløkka 18;1850;MYSEN;MOTORSYKKELOGMOPED;874472492
Ivar Bråthen Mekaniske AS;Gubberudveien 132;2312;Ottestad;PABYGGER;979901925
TRESLAND BILSKADE AS;Gvarvvegen 60;3800;Bø i Telemark;"BILVERKSTED01, BILSKADE";982933544
SKOVGÅRD AS;JAKOBSLIVEGEN 2;7058;JAKOBSLI;HJUL;915995527
Støren Bilsenter AS;Svartøya 6;7290;STØREN;"BILVERKSTED01, KONTROLLORGAN01";996209008
Rolf Wee Transport AS avd. Påbygg ;Frakkagjerdvegen 127;5563;Frakkagjerd;PABYGGER;970998136
Bogstad Bilservice AS;Nordveien 100;1930;AURSKOG;"BILVERKSTED01, KONTROLLORGAN01";990868263
GJØVIK VULK DEKKSENTER AS;GJØVIK NÆRINGSSENTER;2807;HUNNDALEN;HJUL;959607508
Jørpeland Servicenter AS;Ryfylkevegen 953;4100;JØRPELAND;"BILVERKSTED01, KONTROLLORGAN01";947441302
Nord Salten Auto AS;Ulvsvåg;8276;Ulvsvåg;"BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B";887018952
